Questions; Answers;
Retraite ?; L'âge de retraite est à 60  ans ou l'employé doit être informé de la date de fin de carrière et doit présenter à la direction de ressources humaines un extrait de la CNSS et une copie de CIN  en plus d’un compte bancaire ou postal et un extrait de naissance;
Comment obtenir un crédit CNSS ?; Pour bénéficier d'un crédit CNSS IL faut que l'employé doit présenter le  formulaire correspondant  ;
CNSS ?; Pour bénéficier d'un crédit CNSS l'employé doit présenter le formulaire correspondant;
Comment obtenir un téléphone portable ?; L'employé doit signer un engagement et Il doit porter avec lui  une copie de fiche de paie et une CIN;
Téléphone portable ?;  L'employé doit signer un engagement et une copie de fiche de paie et une CIN;
Comment avoir une promotion de mérite ?; La promotion de mérite exige les critères suivants  qui sont  l'âge ainsi que l'ancienneté et l'état familiale nombre des enfants en plus  l'ancienneté dans la classe enfin le note de rendement et le note professionnelle;
Promotion ?; la promotion de mérite exige les critères suivants qui sont l'âge ainsi que l'ancienneté et l'état familiale et le nombre des enfants en plus l'ancienneté dans la classe enfin le note de rendement et le note professionnelle;
Comment avoir une attestation de travail ?; l'employé doit présenter une demande d'attestation de travail copie de CIN;
Attestation de travail ?; l'employé doit présenter une demande d'attestation de travail et une copie de CIN;
Comment avoir une attestation de salaire ?; l'employé doit présenter une demande d'attestation de  salaire ;
Attestation de salaire ?; l'employé doit présenter une demande d'attestation de salaire;
Quels sont Les pièces nécessaires pour avoir une Visa ?; Les documents nécessaires pour préparer un dossier de visa sont les 3 dernières fiche de paies en couleur et un titre de congé attestation de travail et de salaire  et enfin déclaration annuelle d'impôt;
Visa?; Les documents nécessaires pour préparer un dossier de visa sont les  3 dernières fiche de paies en couleur et un titre de congé  en plus attestation de travail et de salaire et enfin déclaration annuelle d'impôt;
Quel est le délai de modification ?; le délai limite de modification de compte bancaire ou postal  ou bien  le changement d'état familiale ou correction d'une faute sont fait avant le huit premier jour de chaque moi;
Modification ?; le délai limite de modification de compte bancaire ou postal ou bien le changement d'état  familiale ou correction d'une faute sont fait avant le huit premier jour de chaque moi;
Comment présenter un certificat de maladie à la direction SEPR ?; Pour Toute certificat de maladie dépasse 5 jours l'employé demande son salaire de la caisse nationale d'assurance des maladie (CNAM);
Maladie ?; Pour toute certificat de maladie dépasse 5 jours l'employé demande son salaire de la caisse nationale d'assurance des maladies (CNAM);
Quel est le nombre de jour de congé ?; le nombre de jours de congé sont limité à 26 jours selon l'article 59 de la convection collective;
Congé ?; Le nombre de jours de congé sont limité à 26 jours selon l'article 59 de la convection collective;
Est e qu'on peut faire un  stage dans la SEPR?; Oui vous pouvez faire un stage au sein de SEPR Il faut  contacter la division de formation;
Documents de stage ?; les documents nécessaires pour effectuer un stage sont une copie de carte d’identité et demande de stage de votre établissement;
Est ce que je peut faire un stage dans votre entreprise ?; L'employé peut effectuer un stage dans une autre entreprise après l’acceptation;
Stage ?; Oui vous pouvez faire un stage au sein de SEPR Il faut contacter la division de formation ;
les documents nécessaires pour effectuer un stage sont ?; une copie de carte d’identité et une demande de stage de votre établissement a ce moment la l'employé peut effectuer un stage dans une autre entreprise après l'acceptation ;
Est ce que je peut pour suivre mes études universitaires ?; Oui vous pouvez poursuivre vos études après l’approbation de la CNFCPP;
Etudes ?; Oui vous pouvez poursuivre vos études après l’approbation de la CNFCPP;
Comment s'inscrire à une formation ?; l'employé peut faire une formation selon les besoin de l’entreprise;
Quels sont les types de formations ?; Nous proposons deux genres des formations qui sont formation continue et formation initiale elles sont divisées en trois parties stages pratiques obligataire apprentissage et en alternance;
Quel est le coût des formations ?; Les tarifs varient selon les programmes et leur durée.;
Est ce que il y a une formation en ligne ?; Nous offrons des formations en ligne en pressentie et sous forme hybride selon les besoins et l'offre;
Quels sont les moyens de financement de la formation ?; La SEPR exploite l’avantage de TFP pour réaliser l’action de formation;
Est ce que je peut avoir une Certificat après la formation ?; Oui chaque formation est accompagnée d’une certification reconnue qui atteste des compétences acquises;
Formation ?; Oui l'employé peut faire une formation selon les besoins  de l’entreprise alors Nous proposons deux genres de formations qui sont formation continue et formation initiale Elle sont divisées en trois parties qui sont une stages pratiques obligataire apprentissage et en alternance les tarifs varient selon les programmes et leur durée Nous offrons aussi des formations en ligne en pressentie et sous forme hybride selon les besoins et l'offre sachant que la SEPR exploite l’avantage de TFP pour réaliser l’action de formation et avoir une certificat après la formation qui atteste des compétences acquises ;
Quel est le but de SMQ ?; Le but principal de SMQ est l'organisation des différents services et la satisfaction de client;
Quel est l'impact explicite SMQ ?; Le système SMQ permet d’atteindre une organisation optimale d'une politique qualité;
Quel est l'impact implicite SMQ ?; Le système SMQ permet à minimiser les non conformités par rapport aux objectifs;
Comment prendre une décision sans échec ?; La prise des décisions est fondées sur des épreuves;
Comment traiter les  Non conformités ?; L'entreprise exige le fiche d'action corrective préventive (FACP);
Quels sont les documents pour décrire les Processus ?; les documents qui décrivent les processus sont les procédures;
Comment traiter les Conformités majeurs SMQ ?; Une conformité majeur peut engendrer un risque de niveau haut d'où un résultat indésirable;
Qualité et Transparence ?; La qualité peut toucher la transparence dans la SEPR avec la traçabilité des documents indexés;
Quels sont les documents pour décrire les opérations ?; Les documents utilisés pour faire décrire les opérations et les détails d'un tel processus ou procédure sont les instructions d’exigences qualité;
Quel est le rôle de l'inventaire ?; L’inventaire est une opération comptable qui permet de recenser tous les éléments du passif et de l’actif d‘une entreprise pour les évaluer.;
Quel est le but de SMQ ?; Le but principal DE SMQ est la l'organisation des différents services et la satisfaction client;
SMQ ?; Le système SMQ permet à atteindre une organisation optimale d'une politique qualité Le système SMQ permet à minimiser les non conformités par rapport aux objectifs et la prise des décisions qui sont fondées sur des épreuves Alors l'entreprise exige le fiche d'action corrective préventive (FACP) pour les non conformités sachant que les documents qui décrivent les processus sont les procédures la conformité majeur peut engendrer un risque de niveau haut d'où un résultat indésirable ainsi la qualité peut toucher la transparence dans la SEPR avec la traçabilité des documents indexés et les documents utilisés pour faire décrire les opérations et les détails d'un tel processus ou procédure sont les instruction de exigences qualité;
Quel est le rôle de l'inventaire ?; L’inventaire est une opération comptable qui permet de recenser tous les éléments du passif et de l’actif d ‘une entreprise pour les évaluer;
Quelle est la démarche de l'inventaire ?; L'opération d'inventaire se déroule une fois pas an elle nécessite de préparer les fiches de l’inventaire pour compter les matériels et vérifier le stock puis le dégagement des écarts et la valorisation de stock;
Comment on commande les matériels ?; La direction d’exploitation envoi un bon de commande à la division de gestion de stock qui donne les matériels existants au demandeur avec un bon de sortie.si le matériels n'existent pas la demande sera envoyé à la division des achats;
Inventaire ?; L’inventaire est une opération comptable qui permet de recenser tous les éléments du passif et de l’actif d ‘une entreprise pour les évaluer donc l'opération d'inventaire se déroule une fois pas an et elle nécessite de préparer les fiches de l’inventaire pour compter les matériels de plus vérifier le stock et dégagement des écarts et valorisation de stock Pour une commande des matériels la direction exploitation envoi un bon de commande à la division de gestion de stock qui donne les matériels existants au demandeur avec un bon de sortie si le matériels n'existent pas la demande sera envoyé à la division des achats;
Quels sont vos services ?; Nous offrons une gamme de services pour les institutions publiques et des travaux d'aménagement pour la délégation de Redeyef et pour la compagnie des phosphates de Gafsa;
Quels sont les prix de services ?; Nos services varient en prix selon vos besoins;
Comment peut on avoir un devis ?; Pour un devis veuillez nous contacter directement ou remplir le formulaire sur notre site;
Services ?; Nous offrons une gamme de services pour les institutions publiques et des travaux d'aménagement pour la délégation de Redeyef et pour la compagnie des phosphates de Gafsa donc nos services varient en prix selon vos besoins et pour avoir un devis veuillez nous contacter directement ou remplir le formulaire sur notre site;
Quels sont les projets de la SEPR pour lancer ses activités ?; La SEPR a réalisé un plan stratégique basé sur quatre axes fondamentaux Le premier axe c’est de mettre en place des projets industriels environnementaux réalisant des activités environnementales résultant d'activités industrielles le deuxième axe est de  Créer des projets environnementaux visant à améliorer la qualité de vie dans la délégation de Redeyef enfin le troisième axe Offrir divers services au profit des établissements et le quatrième axe Déposer des projets dans le domaine agricole;
Quels sont les projets industriels environnementaux ?; Réhabilitation de la digue à boue et réhabilitation de la verse de déchets gros de phosphate ainsi que réhabilitation environnementale des zones industrielles de la compagnie des Phosphates de Gafsa cela inclut réhabilitation environnementale des ateliers de la CPG siège de Redeyef ainsi que réhabilitation environnementale de carrières abandonnées de la CPG siège de Redeyef;
Quels sont les projets environnementaux ?; visant à améliorer la qualité de vie dans la délégation de Redeyef  pour créer une ville minière verte et pour préparer des espaces  vertes  en plus  prendre soin des entrées de la ville et de la propreté du centre urbain  encore  créer des chemins sains et des ceintures vertes autour de la ville Enfin la création d'un centre de transfert des déchets ménagers et mise en place d’une décharge contrôlée pour les déchets ménagers avec l'implantation d’un boulevard environnemental;
Quels sont les projets industriels ?; Conduire des véhicules lourds et des machines de construction en plus la peinture et l’ entretien électrique et l’entretien mécanique encore la soudure et la charpenterie  ainsi  que  gérer le chauffage et le refroidissement enfin le marketing digitale et conception et dessin par ordinateur et tenu de comptabilité;
Quels sont les projets agricoles ?; Mettre en œuvre des projets agricoles exemplaires et récupération des terres de l'État et commerce de matériels plus d’équipements agricoles et la création de pépinières d'arbres forestiers et fruitiers;
Quels sont les projets de services ?; Aménagement des institutions publiques et collecte des déchets ménagés et jardinage encore la sécurité des institutions et des services divers;
Projet?; la SEPR a réalisé un plan stratégique basé sur quatre axes fondamentaux Le premier axe  est de mettre en place des projets industriels environnementaux réalisant des activités environnementales résultant d'activités industrielles le deuxième axe est des projets environnementaux visant à améliorer la qualité de vie dans la délégation de Redeyef. le troisième axe c’est d’Offrir divers services au profit des établissements et pou terminer le quatrième axe est déposer des projets dans le domaine agricole;
Quelle est la mission de la direction des études de projets et de planning ?; sa mission est de planifier et coordonner en plus suivre les projets stratégiques pour assurer leur alignement avec les objectifs de l’entreprise;
Quelles sont les étapes impliquées dans la planification d’un projet ?; Les étapes incluent l’identification des besoins en plus la définition des objectifs et l’allocation des ressources la création d’un calendrier et la gestion des risques;
Comment assure la direction des études le suivi et la progression des projets ?; Nous utilisons des tableau de bord des indicateurs de performance KPI et des revues de projet régulières pour surveiller la progression et assure le respect des détails    ;
Quelles sont les compétences requises pour travailler dans les études de projets et de planning ?; Des compétences en gestion de projet en analyse en planification stratégique et en gestion des ressources sont essentielles;
Comment les objectifs des projets sont ils définis ?; Les objectifs sont définis en collaboration avec les parties prenantes QUI SONT  basés sur les besoins de l’entreprise et les ressources disponibles;
Comment les risques de projet sont ils gérés ?; Nous identifions les risques dès le début et les évaluons en termes réel  puis suivre l'impact et la probabilité en développant des plans de mitigation pour les minimiser;
Quels outils utilise la direction pour gérer les projets ?; Nous utilisons des outils de gestion de projet comme Microsoft Project (MS Project) et Trello et des logiciels d’analyse pour le suivi des indicateurs et des délais;
Quelle est l'importance de la planification dans la réussite d'un projet ?; Une bonne planification permet de clarifier les étapes et d’optimiser les ressources En plus de minimiser les imprévus ceci est essentiel pour le succès du projet;
Comment la direction assure t elle que les projets sont alignés avec les objectifs stratégiques ?; Nous effectuons des évaluations régulières et collaborons avec les autres directions pour ajuster les projets aux priorités stratégiques de l’entreprise;
Quelle est la durée moyenne d’un projet et comment le planifier ?; La durée varie selon la complexité mais chaque projet est planifié avec un échéancier clair incluant des étapes clés pour assurer une gestion efficace du temps;
Quel est le rôle principal de la direction de planning et veille stratégique ?; La direction de planning et de veille stratégique vise à anticiper les évolutions du marché et identifier les tendances  pour orienter les décisions stratégiques de l'entreprise;
Quelles sont les missions de la veille stratégique ?; La veille stratégique consiste à surveiller les concurrents et les évolutions technologiques de plus les réglementations et les nouvelles tendances pour mieux anticiper aux risques et aux opportunités;
Comment la veille stratégique aide t elle à la prise de décision ?; Elle fournit des informations clés sur les tendances du marché et les mouvements des concurrents En permettant ainsi aux dirigeants de prendre des décisions plus éclairées;
Quels sont les outils utilisés pour la veille stratégique ?; Nous utilisons des outils d’intelligence artificielle et des plateformes de surveillance médiatique des bases de données sectorielles  encore des outils de suivi des réseaux sociaux;
Qu’est ce que le planning stratégique ?; Le planning stratégique consiste à définir les objectifs à long terme de l’entreprise et à planifier les actions pour les atteindre en fonction des ressources disponibles et de l’environnement concurrentiel;
Quelles sont les étapes principales du planning stratégique ?; Elles incluent l’analyse de l’environnement interne et externe  ainsi que  la définition des objectifs et l’élaboration de la stratégie et enfin la mise en œuvre du plan d’action;
Comment sont collectées les données pour la veille stratégique ?;  Nous collectons les données via des études de marché des rapports sectoriels la surveillance des médias et des publications scientifiques;
Comment le service utilise t il les informations collectées ?; Les informations sont analysées pour produire des rapports stratégiques des tableaux de bord et des recommandations aux différentes directions de l'entreprise;
Quels sont les principaux bénéfices de la veille stratégique pour l’entreprise ?; Elle permet d’anticiper les changements de se préparer aux menaces potentielles et de saisir des opportunités de croissance;
Quelles compétences sont nécessaires pour travailler dans la veille stratégique ?; Des compétences en analyse de données en intelligence économique en gestion de l'information et en compréhension des dynamiques concurrentielles sont essentielles;
Quelles sont les tendances actuelles dans notre secteur ?; Les tendances actuelles incluent l'innovation technologique la transition vers des modèles durables et l&#39;évolution des préférences des consommateurs
Comment le service identifie t il les tendances émergentes ?; Grâce à la surveillance des publications l’analyse des données de marché et les retours clients nous détectons les signaux faibles qui annoncent de nouvelles tendances;
Quelle est la fréquence de mise à jour de la veille stratégique ?; Les rapports de veille sont mis à jour de manière hebdomadaire avec des analyses approfondies chaque trimestre;
Comment le planning stratégique peut il aider à augmenter la rentabilité ?; En optimisant les ressources en ciblant les opportunités de croissance et en anticipant les risques le planning stratégique contribue à maximiser la rentabilité;
Quelle est la différence entre veille concurrentielle et veille stratégique ?; La veille concurrentielle se concentre sur les activités des concurrents tandis que la veille stratégique couvre un ensemble plus large incluant les innovations la réglementation et les tendances;
Comment le service travaille t il avec d’autres départements ?; Nous collaborons avec le marketing les ventes la R&D et la direction générale pour aligner les stratégies et les actions de tous les services;
Quelles méthodes d’analyse sont utilisées dans le planning stratégique?; Nous utilisons des méthodes comme l’analyse SWOT l’analyse PESTEL la modélisation de scénarios et l’analyse de portefeuille;
Quels sont les principaux risques à surveiller actuellement ?; Les risques incluent les changements réglementaires  et la volatilité des marchés financiers et les perturbations technologiques;
Comment les KPIs sont ils définis dans la planification stratégique ?; Les KPIs sont définis en fonction des objectifs stratégiques et sont régulièrement suivis pour évaluer la performance des actions mises en œuvre;
Quelle est la durée du cycle de planification stratégique ?; La planification stratégique s’étale généralement sur 3 à 5 ans avec des révisions annuelles pour adapter les priorités aux changements du marché;
Quel est le rôle de la division comptabilité ?; La division de finance et comptabilité collecte tous les documents comptables et les classer dans des chronos après ses numérisation;
Est ce les employés ont contact avec la division de finance et de comptabilité?; la division de finance et de comptabilité n’a pas un contact direct avec les personnels de la société sauf en cas pour s’informer sur un virement bancaire non encore liquider;
Quelles sont les taches de la division de finance et de comptabilité ?; la division de finance et de comptabilité  effectue plusieurs taches y compris le pointage des relevés bancaires et la réalisation des virements via les comptes des fournisseurs et la saisi des factures En plus  l’ouverture et la clôture des comptes;
Quel est le logiciel utilisé pour la division finance et comptabilité ?; Le logiciel utilisé dans la division de finance et de comptabilité est le Sage i 100;
Comptabilité ?; le rôle de la division comptabilité OU  La division de finance et comptabilité collecte tous les documents comptables et les classer dans des chronos après ses numérisations .les employés n'ont pas un contact direct avec les personnels de la société sauf en cas pour s’informer sur un virement bancaire non encore liquider ainsi la division de finance et de comptabilité effectue plusieurs taches y compris le pointage des relevés bancaires et la réalisation des virements via les comptes des fournisseurs et la saisi des factures et l’ouverture et la clôture des comptes sachant qu'elle utilise le logiciel le Sage i 100;
Comment  demander un prise en charge CNSS ?; Vous demandez l’accord préalable de la CNSS au prés de l’agence de votre choix en présentant une feuille de soins selon le cas (formulaire et référence );
Quels sont les conditions de remboursement d’un frais de la CNAM ?; Pour bénéficier de remboursement des frais l’assuré doit déposer un demande de remboursement dans un délai maximum de 60 jours à compter de ma date des soins;
C’est quoi  un Matricule CNSS ?; La sécurité sociale attribue à chaque personne un numéro unique et  individuel  qui permet  l’identification de la personne dans les différents  organismes ;
Quel est le taux de retenue CNSS ?; La contribution de salarié au régime obligatoire de sécurité  sociale s’effectue  par une retenue un salaire brut  aux taux de 9,18 %;
Quel sont les conditions  pour  obtenir un prêt  bancaire ?; Vous devez avoir un rapport personnel  minimal de 20% ou 30% du montant de l’acquisition selon la banque et la mensualité  de votre nouveau crédit ne doit pas dépasser 40% de vos  retenues disponibles;
Qui paie l’IRPP ?; L’IRPP est du pour toute personne physique ayant sa résistance habituelle en Tunisie;
Comment calculer le salaire net ?; Le salaire net est la rémunération due à l’employé après soustraction  de son salaire brut de l’impôt  sur le revenue (IRPP) et de la cotisation de sécurité sociale due par l’ employé (9,18 % de salaire brut);
Pourquoi vous demandez un nouveau dossier administratif ?; POUR évaluer votre carrière et votre situation administrative et faciliter la gestion des ressource humaine;
Comment faire pour justifier une absence au travail ?; Le salarié répond par l’envoi d’une justification  valable (exemple  certificat médical pour préciser le raison de l’absence);
Combien de salarié dans votre entreprise?; Nous avons 1556 salariés;
Quels sont les différentes catégories de salariés ?; Les salariés se devisent comme suit on a les ouvriers  les techniciens encore les agents de maitrises et enfin les cadres;
 Comment savoir quel échéance je suis ?; Il faut se référer a la convention de l’entreprise pour connaitre la classification  l’échelon et le niveau a faire apparaitre sur la fiche de paie. Généralement les échelons sont codifies de 1 à 28 En un mot l’échelon est un indicateur permettant de situer le niveau d’expérience d’un salarié dans le système de classification dans l’entreprise;
Quel est le rôle principal du service achat ?; le service achat est responsable de la gestion de l’approvisionnement de l’entreprise et Cela inclus la recherche de fournisseurs et la négociation de prix;
Comment sélectionnez vous vos fournisseurs ?; nous sélectionnons nos fournisseurs en évaluant plusieurs critères tel que la qualité de produit ainsi que le prix et les délais de livraison;
Quelle sont les étapes de  processus d’achat ?; le processus achat typique comprend l’identification de besoins la recherche d’un bon fournisseur en plus demande de devis et la négociation et la passation de commande enfin la réception de biens ou la service ;
Comment assurez vous la conformité des achats avec la politique de l’entreprise ?; nous avons mis en place de procédures et des contrôles internes pour garantir que tous les achats respectent les politiques de l’entreprise;
Comment gérez vous les risques associées aux achats ?; En premier lieu nous identifions les risques potentiels puis nous diversifions nos base de fournisseurs et nous établissons des plans d’urgence;
Quel est le rôle de la direction achat ?; le rôle de la direction achat consiste à superviser l’ensemble des activités liées aux achats depuis la négociation avec les fournisseurs jusqu'à la gestion des stocks;
Pour quoi mettre en place un service achat ?; réduire les couts des tous les produits et accroitre la marge de l’entreprise ainsi qu’il fait augmenter la qualité de marchandise achetée enfin il prévenait l’entreprise tout les problèmes d’approvisionnement ou tout autre incident;
Quelle sont les missions de services achat ?; le service achat doit gérer les risques associées a l’approvisionnement;
Quels sont les différent types d’achats ?; il y a trois grand  types d’achat achat directs ou achat indirect et achat d’investissement;
Quels sont les axes des critères d’achat ?; il y a plusieurs axes de critères d’achat en premier lieu on a le prix puis  la qualité et la rapidité de livraison encore on a la disponibilité de produits et la capacité de respecter les termes des contrats ;
Quel est le nom de directeur de la société ?; C'est le Doc Ing TABBABI Mohamed;
Quel est la date de création de la société ?; Cette  société a été créé le 1/11/2012;
Ou se trouve votre siège social ?; Notre siège social est situé au Cité Moderne Redeyef 2120;
Quel sont vos activités ?; Nos activités sont avant tout la Plantation puis le Jardinage et la potection de l'environnement;
 Quel est le nombre Total des employées actifs ?; Le nombre des employées actifs est 1484;
Combien d’employés masculins dans votre entreprise ?; Dans notre entreprise on a 1396 employés masculins;
Combien d’employés féminin dans votre entreprise ?; On a 88 employés féminin;
Combien de Célibataire dans votre entreprise ?; Dans la société il y a 357 célibataires;
Combien de Divorcé avez-vous dans votre entreprise ?; Dans notre entreprise on a 12 Divorcés;
Quel est le nombre de Mariés dans la société ?; On a 1110 Mariés;
Combien des Veufs existent dans votre entreprise ?; il y a 5 Veufs dans notre entreprise ;
 Quel est le Pourcentage Effectif par satiation Familiale Célibataire ?; C’est de 24,06%;
Quel est le Pourcentage Effectif par satiation Familiale Divorcé ?; Le Pourcentage Effectif par satiation Familiale Divorcé est 0,81% ;
 Quel le Pourcentage  Effectif par satiation Familiale Marié ?; Le Pourcentage Effectif par satiation Familiale Marié est de 74,80%.;
Quel est le Pourcentage Effectif par satiation Familiale Veuf ?; Cette pourcentage est de 0,34%  Combien d’ancienneté  professionnelle Inferieur a 5 ans ?; On a 254 Inferieur a 5 ans .
Combien d’ancienneté professionnelle entre 6 et 10 ans ?; Il y a  386 entre 6 et 10 ans. ;
Combien d’ancienneté professionnelle entre 11 et 15 ans ?; On a 19 entre 11 et 15 ans.;
Combien d’ancienneté professionnelle entre 16 et 20 ans ?; Il y a 825  entre 16 et 20 ans;
Quel est le Pourcentage d'ancienneté professionnelle entre 5 ans ?;  C’est un pourcentage de 17,12%;
Quel est  le Pourcentage d'ancienneté professionnelle entre 6 et 10 ans ?; C’est un pourcentage de 16,01%;
Quel est le Pourcentage  d'ancienneté professionnelle entre 11 et 15 ans ?; C’est un pourcentage de 1,28% ;
Quel est le Pourcentage d'ancienneté professionnelle entre 16 et 20 ans ?;  C’est un pourcentage de 55,59% Quel est le Nombre actif Masculin Plus que 20  ans ?;0
Quel est le Tranche d'âge actif entre 18 et 25 ans ?;0;
Quel est le Tranche d'âge actif entre 26 et 30 ans ?;6;
Quel est le Tranche d'âge actif entre 31 et 35 ans ?;90;
Quel est le Tranche d'âge actif entre 36 et 40 ans ?;213;
Quel est le Tranche d'âge actif entre 41 et 45 ans ?;373;
Quel est le Tranche d'âge actif entre 46 et 50 ans ?;311;
Quel est le Tranche d'âge actif entre 51 et 55 ans ?;298;
Quel est le  Tranche d'âge actif entre 56 et 60 ans ?;193;
Quel est le Tranche d'âge Actif plus que 60 ans ?;0;
Quel est le Nombre Actif  Plus que 20 ans ?; un pourcentage de 0 %                                     Quel est le Tranche d'âge Actif entre 18 et 25 ans ?; un pourcentage de 0%
Quel est le Tranche d'âge Quel est le entre 26 et 30 ans ?; un pourcentage de 0,40%;
Quel est le Tranche d'âge Actif entre 31 et 35 ans ?; C’est un pourcentage de 6,06%;
Quel est le Tranche d'âge Actif entre 36 et 40 ans ?; C’est un pourcentage de 14,35%;
Quel est le Tranche d'âge Actif entre 41 et 45 ans ?; C’est un pourcentage de 25,13%;
Quel est le Tranche d'âge Actif entre 46 et 50 ans ?; C’est un pourcentage de 20,96%;
Quel est le Tranche d'âge Actif entre 51 et 55 ans ?; C’est un pourcentage de 20,08%;
Quel est le Tranche d'âge Actif entre 56 et 60 ans ?; C’est un pourcentage de 13,01%;
Quel est le Tranche d'âge Actif plus que 60 ans ?; C’est un pourcentage de 0%;
Quelle est l’importance des archives dans l’institution ?; L'archivage conserve les enregistrements et les informations importantes et aide à récupérer les données rapidement et efficacement;
Comment les archives peuvent elles être organisées efficacement ?; L'archivage  peut être organisé en utilisant des systèmes de classification clairs, tels que la classification chronologique ou thématique;
Quels sont les principaux défis de la gestion des archives ?; Les défis incluent la conservation des dossiers la garantie de la sécurité et la facilitation de l'accès;
Comment les archives numériques peuvent elles être préservées ?; Il est nécessaire d'utiliser des sauvegardes régulières encore  de mettre à jour les logiciels et d'assurer la sécurité des données;
Quelles normes doivent être suivies lors de la tenue des registres ?; Il faut suivre des normes légales  en plus opérationnelles et techniques pour garantir la qualité et l'accessibilité;
Comment former les employés à l'utilisation du système d'archives ?; Des ateliers et des formations pratiques peuvent être organisés pour les familiariser avec le système et les procédures de travail;
Quelles sont les technologies modernes utilisées dans les archives ?; Les technologies modernes incluent le stockage cloud de plus  l'intelligence artificielle et les systèmes de gestion de contenu;
Comment garantir la sécurité des archives ?; La sécurité peut être assurée par le contrôle d'accès ainsi  que le cryptage et les sauvegardes régulières;
Quelle est la période optimale pour conserver les registres ?; La période varie selon le type de dossier  mais il est nécessaire de revoir les politiques légales et administratives;
Comment améliorer l’accès à l’information dans les archives ?; L'accès peut être amélioré en fournissant des interfaces conviviales et des systèmes de recherche efficaces;
